Year,Month,Call Handled
2019,January,"45,557"
2019,February,"41,334"
2019,March,"39,535"
2019,April,"37,836"
2019,May,"37,471"
2019,June,"36,255"
2019,July,"40,106"
2019,August,"36,106"
2019,September,"37,303"
2019,October,"44,532"
2019,November,"43,777"
2019,December,"42,659"
2020,January,"45,274"
2020,February,"42,985"
2020,March,"31,322"
2020,April,"11,055"
2020,May,"11,193"
2020,June,"16,439"
2020,July,"19,151"
2020,August,"19,846"
2020,September,"21,127"
2020,October,"19,867"
2020,November,"19,937"
2020,December,"19,761"
2021,January,"16,350"
2021,February,"16,975"
2021,March,"21,062"
2021,April,"16,819"
2021,May,"19,091"
2021,June,"25,295"
2021,July,"29,487"
2021,August,"34,664"
2021,September,"39,918"
2021,October,"41,336"
2021,November,"42,709"
2021,December,"47,603"
2022,January,"29,729"
2022,February,"41,513"
2022,March,"44,580"
2022,April,"42,015"
2022,May,"41,969"
2022,June,"41,353"
2022,July,"41,353"
2022,August,"42,454"
2022,September,"43,081"
2022,October,"41,993"
2022,November,"43,240"
2022,December,"42,939"
