Year,Month,Overall Service Reliability
2019,January,97.63%
2019,February,96.64%
2019,March,98.23%
2019,April,97.69%
2019,May,95.62%
2019,June,96.42%
2019,July,96.30%
2019,August,95.07%
2019,September,96.51%
2019,October,98.25%
2019,November,98.46%
2019,December,97.35%
2020,January,98.03%
2020,February,97.62%
2020,March,95.70%
2020,April,99.70%
2020,May,99.41%
2020,June,99.42%
2020,July,97.45%
2020,August,97.43%
2020,September,98.97%
2020,October,98.90%
2020,November,98.59%
2020,December,98.96%
2021,January,99.40%
2021,February,99.01%
2021,March,99.27%
2021,April,99.17%
2021,May,99.50%
2021,June,99.62%
2021,July,99.75%
2021,August,98.47%
2021,September,96.82%
2021,October,92.80%
2021,November,97.19%
2021,December,97.76%
2022,January,96.19%
2022,February,95.12%
2022,March,98.34%
2022,April,98.42%
2022,May,94.58%
2022,June,94.93%
2022,July,96.63%
2022,August,95.36%
2022,September,97.56%
2022,October,98.05%
2022,November,98.30%
2022,December,96.78%
