Year,Month,Service Reliability - On-Time Performance - Bus
2020,January,74.30%
2020,February,72.40%
2020,March,72.60%
2020,April,78.60%
2020,May,78.30%
2020,June,75.40%
2020,July,76.10%
2020,August,76.30%
2020,September,76.70%
2020,October,76.20%
2020,November,75.40%
2020,December,73.80%
2021,January,75.70%
2021,February,75.60%
2021,March,76.30%
2021,April,78.00%
2021,May,79.30%
2021,June,77.00%
2021,July,77.50%
2021,August,76.40%
2021,September,74.70%
2021,October,74.20%
2021,November,75.20%
2021,December,73.40%
2022,January,75.10%
2022,February,72.70%
2022,March,74.10%
2022,April,74.90%
2022,May,72.50%
2022,June,71.30%
2022,July,73.10%
2022,August,71.70%
2022,September,68.50%
2022,October,69.90%
2022,November,70.80%
2022,December,69.70%
