ntd_id,agency_name,reporting_module,mode,expense_type,passenger_paid_fares,organization_paid_fares,total_fares
1,King County Department of Metro Transit,Urban,CB,Funds Earned During Period,1927211,3289701.0,5216912.0
1,King County Department of Metro Transit,Urban,DR,Funds Earned During Period,740726,0.0,740726.0
1,King County Department of Metro Transit,Urban,DR,Funds Earned During Period,91601,0.0,91601.0
1,King County Department of Metro Transit,Urban,FB,Funds Earned During Period,1316658,398607.0,1715265.0
1,King County Department of Metro Transit,Urban,LR,Funds Earned During Period,15128592,14257888.0,29386480.0
1,King County Department of Metro Transit,Urban,MB,Funds Earned During Period,32855180,23710970.0,56566150.0
1,King County Department of Metro Transit,Urban,MB,Funds Earned During Period,194123,86064.0,280187.0
1,King County Department of Metro Transit,Urban,SR,Funds Earned During Period,305083,283412.0,588495.0
1,King County Department of Metro Transit,Urban,TB,Funds Earned During Period,5880000,4243486.0,10123486.0
1,King County Department of Metro Transit,Urban,VP,Funds Earned During Period,3086787,2397694.0,5484481.0
2,Spokane Transit Authority,Urban,DR,Funds Earned During Period,457699,0.0,457699.0
2,Spokane Transit Authority,Urban,DR,Funds Earned During Period,73585,0.0,73585.0
2,Spokane Transit Authority,Urban,MB,Funds Earned During Period,5363406,771704.0,6135110.0
2,Spokane Transit Authority,Urban,VP,Funds Earned During Period,247718,0.0,247718.0
3,Pierce County Transportation Benefit Area Authority,Urban,CB,Funds Earned During Period,4674368,0.0,4674368.0
3,Pierce County Transportation Benefit Area Authority,Urban,DR,Funds Earned During Period,53359,0.0,53359.0
3,Pierce County Transportation Benefit Area Authority,Urban,DR,Funds Earned During Period,210454,0.0,210454.0
3,Pierce County Transportation Benefit Area Authority,Urban,MB,Funds Earned During Period,4342991,13840.0,4356831.0
3,Pierce County Transportation Benefit Area Authority,Urban,VP,Funds Earned During Period,1535720,0.0,1535720.0
5,City of Everett,Urban,DR,Funds Earned During Period,112410,0.0,112410.0
5,City of Everett,Urban,MB,Funds Earned During Period,597637,100182.0,697819.0
6,City of Yakima,Urban,CB,Funds Earned During Period,193082,0.0,193082.0
6,City of Yakima,Urban,DR,Funds Earned During Period,70560,0.0,70560.0
6,City of Yakima,Urban,MB,Funds Earned During Period,307625,0.0,307625.0
7,Lane Transit District,Urban,DR,Funds Earned During Period,251445,0.0,251445.0
