NTD ID,Mode,Year,Agency,Reporter Type,3 Mode,UPT,VRM
00001,DR,2016,King County,Full,Bus,981441.0,9271125.0
00001,DR,2017,King County,Full,Bus,958016.0,9213548.0
00001,DR,2018,King County,Full,Bus,1027059.0,10011707.0
00001,DR,2019,King County,Full,Bus,1065706.0,10564017.0
00001,DR,2020,King County,Full,Bus,541851.0,4818436.0
00001,DR,2021,King County,Full,Bus,557048.0,4957756.0
00001,DR,2022,King County,Full,Bus,663009.0,6430224.0
00001,FB,2016,King County,Full,Ferry,601942.0,51704.0
00001,FB,2017,King County,Full,Ferry,599954.0,48762.0
00001,FB,2018,King County,Full,Ferry,664365.0,49706.0
00001,FB,2019,King County,Full,Ferry,701608.0,52362.0
00001,FB,2020,King County,Full,Ferry,146930.0,35948.0
00001,FB,2021,King County,Full,Ferry,286843.0,49606.0
00001,FB,2022,King County,Full,Ferry,400407.0,51236.0
00001,MB,2016,King County,Full,Bus,101903014.0,33591422.0
00001,MB,2017,King County,Full,Bus,102013147.0,33818331.0
00001,MB,2018,King County,Full,Bus,104261625.0,34864942.0
00001,MB,2019,King County,Full,Bus,104362252.0,36466174.0
00001,MB,2020,King County,Full,Bus,49257745.0,31650266.0
00001,MB,2021,King County,Full,Bus,42536203.0,31853373.0
00001,MB,2022,King County,Full,Bus,53983641.0,30816322.0
00001,SR,2016,King County,Full,Rail,1358297.0,191472.0
00001,SR,2017,King County,Full,Rail,1417507.0,193810.0
00001,SR,2018,King County,Full,Rail,1685668.0,207850.0
00001,SR,2019,King County,Full,Rail,1863409.0,205470.0
00001,SR,2020,King County,Full,Rail,749443.0,147792.0
00001,SR,2021,King County,Full,Rail,829953.0,187454.0
00001,SR,2022,King County,Full,Rail,1117605.0,180369.0
00001,TB,2016,King County,Full,Bus,18999529.0,3063846.0
00001,TB,2017,King County,Full,Bus,19339147.0,3130521.0
00001,TB,2018,King County,Full,Bus,17950742.0,3086246.0
00001,TB,2019,King County,Full,Bus,17373451.0,2607942.0
00001,TB,2020,King County,Full,Bus,8385163.0,2375110.0
00001,TB,2021,King County,Full,Bus,7976186.0,2685561.0
00001,TB,2022,King County,Full,Bus,9575043.0,2635705.0
00001,VP,2016,King County,Full,Bus,3540538.0,14879324.0
00001,VP,2017,King County,Full,Bus,3626422.0,15199378.0
00001,VP,2018,King County,Full,Bus,3464738.0,15043713.0
00001,VP,2019,King County,Full,Bus,3300186.0,14648137.0
00001,VP,2020,King County,Full,Bus,1084802.0,5295537.0
00001,VP,2021,King County,Full,Bus,512160.0,3264549.0
00001,VP,2022,King County,Full,Bus,702709.0,4413910.0
00002,DR,2016,Spokane Transit Authority,Full,Bus,467286.0,2515454.0
00002,DR,2017,Spokane Transit Authority,Full,Bus,476765.0,2538482.0
00002,DR,2018,Spokane Transit Authority,Full,Bus,475326.0,2478788.0
00002,DR,2019,Spokane Transit Authority,Full,Bus,441097.0,2393647.0
00002,DR,2020,Spokane Transit Authority,Full,Bus,205815.0,1541063.0
00002,DR,2021,Spokane Transit Authority,Full,Bus,252201.0,1835735.0
00002,DR,2022,Spokane Transit Authority,Full,Bus,310316.0,2018751.0
00002,MB,2016,Spokane Transit Authority,Full,Bus,10261816.0,5477713.0
00002,MB,2017,Spokane Transit Authority,Full,Bus,10264971.0,5590733.0
00002,MB,2018,Spokane Transit Authority,Full,Bus,10069599.0,5850424.0
00002,MB,2019,Spokane Transit Authority,Full,Bus,9971798.0,6118526.0
00002,MB,2020,Spokane Transit Authority,Full,Bus,5817776.0,6170085.0
00002,MB,2021,Spokane Transit Authority,Full,Bus,5238135.0,6210759.0
00002,MB,2022,Spokane Transit Authority,Full,Bus,6595319.0,6485325.0
00002,VP,2016,Spokane Transit Authority,Full,Bus,193006.0,1058496.0
00002,VP,2017,Spokane Transit Authority,Full,Bus,178457.0,975974.0
00002,VP,2018,Spokane Transit Authority,Full,Bus,157433.0,948679.0
