Agency,City,State,NTD ID,Reporter Type,Report Year,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Guideway,Stations,Administrative Buildings,Maintenance Buildings,Passenger Vehicles,Other Vehicles,Fare Collection Equipment,Communication & Information Systems,Other,Total
MTA New York City Transit,Brooklyn,NY,20008,Full,2021,18351295.0,10075,DR,PT,878,0.0,0.0,2581388.0,0.0,0.0,0.0,0.0,0.0,0.0,2581388.0
MTA New York City Transit,Brooklyn,NY,20008,Full,2021,18351295.0,10075,HR,DO,5410,580896119.0,520940646.0,42088572.0,326477146.0,55297914.0,39911629.0,59659942.0,483766210.0,180958220.0,2289996398.0
MTA New York City Transit,Brooklyn,NY,20008,Full,2021,18351295.0,10075,CB,DO,433,0.0,0.0,0.0,0.0,18302114.0,0.0,0.0,0.0,0.0,18302114.0
MTA New York City Transit,Brooklyn,NY,20008,Full,2021,18351295.0,10075,MB,DO,3223,0.0,0.0,0.0,68384266.0,148192513.0,0.0,0.0,11025.0,0.0,216587804.0
MTA New York City Transit,Brooklyn,NY,20008,Full,2021,18351295.0,10075,RB,DO,131,0.0,0.0,0.0,2794913.0,0.0,0.0,0.0,0.0,0.0,2794913.0
New Jersey Transit Corporation,Newark,NJ,20080,Full,2021,18351295.0,3494,CR,DO,897,261101660.0,31448457.0,588895.0,11383937.0,86680016.0,137445058.0,3393354.0,46333756.0,0.0,578375133.0
New Jersey Transit Corporation,Newark,NJ,20080,Full,2021,18351295.0,3494,LR,PT,42,17614777.0,0.0,0.0,4023907.0,5890940.0,0.0,0.0,121910.0,0.0,27651534.0
New Jersey Transit Corporation,Newark,NJ,20080,Full,2021,18351295.0,3494,DR,PT,334,0.0,0.0,0.0,0.0,505245.0,0.0,0.0,0.0,0.0,505245.0
New Jersey Transit Corporation,Newark,NJ,20080,Full,2021,18351295.0,3494,MB,DO,1894,381402.0,1001735.0,202911.0,46404976.0,71242682.0,93905.0,1476428.0,4028378.0,0.0,124832417.0
New Jersey Transit Corporation,Newark,NJ,20080,Full,2021,18351295.0,3494,MB,PT,182,0.0,0.0,0.0,0.0,68795.0,0.0,0.0,0.0,0.0,68795.0
New Jersey Transit Corporation,Newark,NJ,20080,Full,2021,18351295.0,3494,YR,PT,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2341190.0,0.0,2341190.0
New Jersey Transit Corporation,Newark,NJ,20080,Full,2021,18351295.0,3494,LR,DO,15,12622617.0,19687.0,0.0,0.0,1129224.0,0.0,0.0,2818295.0,0.0,16589823.0
