NTD ID,Agency Name,Year,Reporter Type,Mode,Passenger Paid Fares,Organization Paid Fares,Total Fares
1,King County Department of Metro Transit,2022,Full,CB,1927211.0,3289701.0,5216912.0
1,King County Department of Metro Transit,2022,Full,DR,832327.0,0.0,832327.0
1,King County Department of Metro Transit,2022,Full,FB,1316658.0,398607.0,1715265.0
1,King County Department of Metro Transit,2022,Full,LR,15128592.0,14257888.0,29386480.0
1,King County Department of Metro Transit,2022,Full,MB,33049303.0,23797034.0,56846337.0
1,King County Department of Metro Transit,2022,Full,SR,305083.0,283412.0,588495.0
1,King County Department of Metro Transit,2022,Full,TB,5880000.0,4243486.0,10123486.0
1,King County Department of Metro Transit,2022,Full,VP,3086787.0,2397694.0,5484481.0
2,Spokane Transit Authority,2022,Full,DR,531284.0,0.0,531284.0
2,Spokane Transit Authority,2022,Full,MB,5363406.0,771704.0,6135110.0
2,Spokane Transit Authority,2022,Full,VP,247718.0,0.0,247718.0
3,Pierce County Transportation Benefit Area Authority,2022,Full,CB,4674368.0,0.0,4674368.0
3,Pierce County Transportation Benefit Area Authority,2022,Full,DR,263813.0,0.0,263813.0
3,Pierce County Transportation Benefit Area Authority,2022,Full,MB,4342991.0,13840.0,4356831.0
3,Pierce County Transportation Benefit Area Authority,2022,Full,VP,1535720.0,0.0,1535720.0
5,City of Everett,2022,Full,DR,112410.0,0.0,112410.0
5,City of Everett,2022,Full,MB,597637.0,100182.0,697819.0
6,City of Yakima,2022,Full,CB,193082.0,0.0,193082.0
6,City of Yakima,2022,Full,DR,70560.0,0.0,70560.0
6,City of Yakima,2022,Full,MB,307625.0,0.0,307625.0
7,Lane Transit District,2022,Full,DR,10724805.0,0.0,10724805.0
7,Lane Transit District,2022,Full,MB,1085367.0,959687.0,2045054.0
7,Lane Transit District,2022,Full,RB,979298.0,793863.0,1773161.0
7,Lane Transit District,2022,Full,VP,39340.0,0.0,39340.0
8,Tri-County Metropolitan Transportation District of Oregon,2022,Full,DR,1055288.0,4696138.0,5751426.0
8,Tri-County Metropolitan Transportation District of Oregon,2022,Full,LR,14187373.0,4983837.0,19171210.0
8,Tri-County Metropolitan Transportation District of Oregon,2022,Full,MB,21419305.0,7524317.0,28943622.0
8,Tri-County Metropolitan Transportation District of Oregon,2022,Full,SR,1062102.0,0.0,1062102.0
8,Tri-County Metropolitan Transportation District of Oregon,2022,Full,YR,55326.0,19435.0,74761.0
11,Valley Regional Transit,2022,Full,DR,79927.0,6016.0,85943.0
11,Valley Regional Transit,2022,Full,MB,535088.0,142238.0,677326.0
12,Municipality of Anchorage,2022,Full,DR,261813.0,325837.0,587650.0
12,Municipality of Anchorage,2022,Full,MB,2921052.0,0.0,2921052.0
12,Municipality of Anchorage,2022,Full,VP,1400709.0,0.0,1400709.0
16,RiverCities Transit,2022,Full,CB,191.0,0.0,191.0
16,RiverCities Transit,2022,Full,DR,17570.0,1905.0,19475.0
16,RiverCities Transit,2022,Full,MB,62566.0,37873.0,100439.0
18,Ben Franklin Transit,2022,Full,DR,150939.0,106410.0,257349.0
18,Ben Franklin Transit,2022,Full,MB,523211.0,197033.0,720244.0
18,Ben Franklin Transit,2022,Full,VP,694805.0,23179.0,717984.0
19,Intercity Transit,2022,Full,CB,0.0,0.0,0.0
19,Intercity Transit,2022,Full,DR,0.0,0.0,0.0
19,Intercity Transit,2022,Full,MB,0.0,0.0,0.0
19,Intercity Transit,2022,Full,VP,404230.0,0.0,404230.0
20,Kitsap Transit,2022,Full,DR,190201.0,0.0,190201.0
20,Kitsap Transit,2022,Full,FB,2947815.0,0.0,2947815.0
20,Kitsap Transit,2022,Full,MB,2001125.0,0.0,2001125.0
20,Kitsap Transit,2022,Full,VP,183660.0,0.0,183660.0
21,Whatcom Transportation Authority,2022,Full,DR,76252.0,0.0,76252.0
21,Whatcom Transportation Authority,2022,Full,MB,870083.0,546616.0,1416699.0
21,Whatcom Transportation Authority,2022,Full,VP,53671.0,0.0,53671.0
23,City of Seattle,2022,Full,MG,4319228.0,0.0,4319228.0
24,Clark County Public Transportation Benefit Area Authority,2022,Full,DR,151715.0,0.0,151715.0
24,Clark County Public Transportation Benefit Area Authority,2022,Full,MB,2334126.0,0.0,2334126.0
24,Clark County Public Transportation Benefit Area Authority,2022,Full,VP,105077.0,0.0,105077.0
25,Salem Area Mass Transit District,2022,Full,DR,190516.0,318539.0,509055.0
25,Salem Area Mass Transit District,2022,Full,MB,1825202.0,0.0,1825202.0
25,Salem Area Mass Transit District,2022,Full,VP,257946.0,0.0,257946.0
28,County of Pierce,2022,Full,FB,2979914.0,0.0,2979914.0
29,Snohomish County Public Transportation Benefit Area Corporation,2022,Full,CB,1782356.0,3321148.0,5103504.0
29,Snohomish County Public Transportation Benefit Area Corporation,2022,Full,DR,245474.0,3875.0,249349.0
29,Snohomish County Public Transportation Benefit Area Corporation,2022,Full,MB,3444644.0,1013947.0,4458591.0
29,Snohomish County Public Transportation Benefit Area Corporation,2022,Full,VP,754326.0,650713.0,1405039.0
34,Rogue Valley Transportation District,2022,,DR,109675.0,0.0,109675.0
34,Rogue Valley Transportation District,2022,,MB,771641.0,0.0,771641.0
35,Washington State Ferries,2022,Full,FB,57644277.0,0.0,57644277.0
40,Central Puget Sound Regional Transit Authority,2022,Full,CB,5472140.0,6696353.0,12168493.0
40,Central Puget Sound Regional Transit Authority,2022,Full,CR,1393189.0,2669080.0,4062269.0
40,Central Puget Sound Regional Transit Authority,2022,Full,LR,15128592.0,14257888.0,29386480.0
40,Central Puget Sound Regional Transit Authority,2022,Full,SR,0.0,0.0,0.0
41,Alaska Railroad Corporation,2022,Full,AR,33709263.0,0.0,33709263.0
43,Chelan Douglas PTBA ,2022,Full,DR,0.0,0.0,0.0
43,Chelan Douglas PTBA ,2022,Full,MB,0.0,0.0,0.0
44,Skagit Transit,2022,Full,CB,70988.0,0.0,70988.0
44,Skagit Transit,2022,Full,DR,89105.0,0.0,89105.0
44,Skagit Transit,2022,Full,MB,216295.0,0.0,216295.0
44,Skagit Transit,2022,Full,VP,298245.0,0.0,298245.0
46,City of Wilsonville,2022,Full,DR,0.0,0.0,0.0
46,City of Wilsonville,2022,Full,MB,52523.0,0.0,52523.0
57,Central Oregon Intergovernmental Council,2022,Full,CB,87934.0,0.0,87934.0
57,Central Oregon Intergovernmental Council,2022,Full,DR,0.0,17666.0,17666.0
57,Central Oregon Intergovernmental Council,2022,Full,MB,89653.0,0.0,89653.0
58,City of Portland,2022,Full,SR,1062102.0,0.0,1062102.0
58,City of Portland,2022,Full,TR,80689.0,0.0,80689.0
376,"Ride Connection, Inc.",2022,Full,DR,0.0,0.0,0.0
376,"Ride Connection, Inc.",2022,Full,MB,30527.0,0.0,30527.0
415,Ada County Highway District,2022,Full,VP,848358.0,82023.0,930381.0
10001,Rhode Island Public Transit Authority,2022,Full,DR,209661.0,165803.0,375464.0
10001,Rhode Island Public Transit Authority,2022,Full,MB,7829693.0,5673280.0,13502973.0
10001,Rhode Island Public Transit Authority,2022,Full,VP,422509.0,0.0,422509.0
10003,Massachusetts Bay Transportation Authority,2022,Full,CR,80658731.0,0.0,80658731.0
10003,Massachusetts Bay Transportation Authority,2022,Full,DR,2718009.0,0.0,2718009.0
10003,Massachusetts Bay Transportation Authority,2022,Full,FB,4309134.0,0.0,4309134.0
10003,Massachusetts Bay Transportation Authority,2022,Full,HR,125112804.0,0.0,125112804.0
10003,Massachusetts Bay Transportation Authority,2022,Full,LR,47061388.0,0.0,47061388.0
10003,Massachusetts Bay Transportation Authority,2022,Full,MB,55239648.0,0.0,55239648.0
10003,Massachusetts Bay Transportation Authority,2022,Full,RB,5998846.0,0.0,5998846.0
10003,Massachusetts Bay Transportation Authority,2022,Full,TB,1066929.0,0.0,1066929.0
10004,Brockton Area Transit Authority,2022,Full,DR,125447.0,693267.0,818714.0
10004,Brockton Area Transit Authority,2022,Full,MB,1580297.0,0.0,1580297.0
10005,Lowell Regional Transit Authority,2022,Full,DR,126834.0,0.0,126834.0
10005,Lowell Regional Transit Authority,2022,Full,MB,757447.0,0.0,757447.0
10006,Southeastern Regional Transit Authority,2022,Full,DR,188772.0,0.0,188772.0
10006,Southeastern Regional Transit Authority,2022,Full,MB,1489280.0,0.0,1489280.0
10007,Berkshire Regional Transit Authority,2022,Full,DR,64867.0,0.0,64867.0
10007,Berkshire Regional Transit Authority,2022,Full,MB,472675.0,35475.0,508150.0
10008,Pioneer Valley Transit Authority,2022,Full,DR,647519.0,0.0,647519.0
10008,Pioneer Valley Transit Authority,2022,Full,MB,4526752.0,0.0,4526752.0
10013,Merrimack Valley Regional Transit Authority,2022,Full,CB,10227.0,0.0,10227.0
10013,Merrimack Valley Regional Transit Authority,2022,Full,DR,72286.0,0.0,72286.0
10013,Merrimack Valley Regional Transit Authority,2022,Full,MB,478571.0,0.0,478571.0
10014,Worcester Regional Transit Authority,2022,Full,DR,0.0,0.0,0.0
10014,Worcester Regional Transit Authority,2022,Full,MB,0.0,0.0,0.0
10016,Greater Portland Transit District,2022,Full,MB,1325270.0,783388.0,2108658.0
10017,Greater Hartford Transit District,2022,Full,DR,1065033.0,0.0,1065033.0
10040,Southeast Area Transit District,2022,Full,DR,11821.0,0.0,11821.0
10040,Southeast Area Transit District,2022,Full,MB,467589.0,11295.0,478884.0
10042,Valley Transit District,2022,Full,DR,44016.0,110675.0,154691.0
10045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,2022,Full,CB,12629.0,0.0,12629.0
10045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,2022,Full,MB,18717.0,0.0,18717.0
10048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,2022,Full,MB,7911358.0,0.0,7911358.0
10048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,2022,Full,RB,727830.0,0.0,727830.0
10049,Greater New Haven Transit District,2022,Full,DR,130004.0,0.0,130004.0
10050,Greater Bridgeport Transit Authority,2022,Full,DR,107730.0,58009.0,165739.0
10050,Greater Bridgeport Transit Authority,2022,Full,MB,1636268.0,784484.0,2420752.0
10051,Housatonic Area Regional Transit ,2022,Full,DR,47392.0,2276.0,49668.0
10051,Housatonic Area Regional Transit ,2022,Full,MB,319341.0,0.0,319341.0
10053,Cape Ann Transportation Authority,2022,Full,DR,40479.0,0.0,40479.0
10053,Cape Ann Transportation Authority,2022,Full,MB,107916.0,0.0,107916.0
10055,Connecticut Department of Transportation - CTTRANSIT New Haven Division,2022,Full,MB,4868428.0,0.0,4868428.0
10056,Connecticut Department of Transportation - CTTRANSIT Stamford Division,2022,Full,MB,1792384.0,0.0,1792384.0
10057,Norwalk Transit District,2022,Full,DR,136523.0,0.0,136523.0
10057,Norwalk Transit District,2022,Full,MB,847925.0,0.0,847925.0
10061,Montachusett Regional Transit Authority,2022,Full,DR,2140023.0,0.0,2140023.0
10061,Montachusett Regional Transit Authority,2022,Full,MB,212542.0,310675.0,523217.0
10064,Greater Attleboro-Taunton Regional Transit Authority,2022,Full,DR,377222.0,104456.0,481678.0
10064,Greater Attleboro-Taunton Regional Transit Authority,2022,Full,MB,401762.0,0.0,401762.0
10066,Green Mountain Transit Authority,2022,Full,CB,0.0,0.0,0.0
10066,Green Mountain Transit Authority,2022,Full,DR,0.0,1551263.0,1551263.0
10066,Green Mountain Transit Authority,2022,Full,MB,0.0,0.0,0.0
10086,Cooperative Alliance for Seacoast Transportation,2022,Full,DR,41304.0,45766.0,87070.0
