NTD ID,Mode,Year,Total Minor Incidents,Customer Injuries,Worker Injuries,Other Injuries,Total Injuries
1,FB,2016,2,0,2,0,2
1,FB,2017,6,1,5,0,6
1,FB,2018,3,1,2,0,3
1,FB,2019,1,0,1,0,1
1,FB,2021,5,4,1,0,5
1,MB,2016,84,82,0,0,82
1,MB,2017,77,77,0,0,77
1,MB,2018,85,84,0,0,84
1,MB,2019,75,74,0,0,74
1,MB,2020,84,84,0,0,84
1,MB,2021,79,79,0,0,79
1,MB,2022,87,87,0,0,87
1,SR,2016,1,1,0,0,1
1,SR,2017,2,2,0,0,2
1,SR,2018,3,3,0,0,3
1,SR,2019,2,2,0,0,2
1,SR,2021,2,2,0,0,2
1,TB,2016,23,23,0,0,23
1,TB,2017,18,18,0,0,18
1,TB,2018,14,14,0,0,14
1,TB,2019,10,9,0,1,10
1,TB,2020,10,10,0,0,10
1,TB,2021,14,14,0,0,14
1,TB,2022,25,25,0,0,25
2,DR,2016,2,1,1,0,2
2,DR,2017,3,3,0,0,3
2,DR,2018,2,2,0,0,2
2,DR,2019,1,1,0,0,1
2,DR,2021,4,3,1,0,4
2,DR,2022,1,1,0,0,1
2,MB,2016,17,17,0,0,17
2,MB,2017,20,20,0,0,20
2,MB,2018,8,8,0,0,8
2,MB,2019,3,3,0,0,3
2,MB,2020,5,5,0,0,5
2,MB,2021,16,15,1,0,16
2,MB,2022,25,25,0,0,25
3,DR,2017,4,4,0,0,4
3,DR,2018,1,1,0,0,1
3,DR,2022,11,10,1,0,11
3,MB,2016,14,14,0,0,14
3,MB,2017,10,10,0,0,10
3,MB,2018,16,12,1,0,13
3,MB,2019,24,23,0,0,23
3,MB,2020,13,13,0,0,13
3,MB,2021,14,9,0,0,9
3,MB,2022,12,10,1,1,12
5,DR,2016,2,1,0,1,2
5,DR,2019,2,2,0,0,2
5,DR,2022,1,0,1,0,1
5,MB,2016,3,3,0,0,3
5,MB,2017,1,1,0,0,1
5,MB,2019,2,0,1,1,2
5,MB,2020,1,1,0,0,1
5,MB,2021,3,3,0,0,3
5,MB,2022,5,5,0,0,5
6,CB,2016,1,1,0,0,1
6,CB,2018,1,1,0,0,1
6,DR,2016,3,2,1,0,3
6,DR,2017,3,3,0,0,3
6,DR,2018,1,1,0,0,1
6,DR,2020,1,1,0,0,1
6,MB,2016,2,2,0,0,2
6,MB,2017,3,3,0,0,3
6,MB,2018,1,1,0,0,1
6,MB,2019,1,1,0,0,1
6,VP,2017,1,0,1,0,1
7,DR,2016,1,1,0,0,1
7,DR,2017,1,1,0,0,1
7,DR,2019,1,0,0,0,0
7,DR,2022,1,1,0,0,1
7,MB,2016,4,3,1,0,4
7,MB,2017,7,7,0,0,7
7,MB,2018,8,8,0,0,8
7,MB,2019,7,6,0,1,7
7,MB,2020,2,2,0,0,2
7,MB,2021,5,5,0,0,5
7,RB,2016,1,1,0,0,1
7,RB,2017,4,4,0,0,4
7,RB,2018,7,7,0,0,7
7,RB,2019,9,9,0,0,9
7,RB,2020,4,4,0,0,4
7,RB,2021,1,1,0,0,1
8,DR,2016,2,2,0,0,2
8,DR,2017,3,1,0,0,1
8,DR,2018,5,5,0,0,5
8,DR,2019,8,8,0,0,8
8,DR,2020,2,2,0,0,2
8,DR,2021,1,1,0,0,1
8,LR,2016,55,54,1,0,55
8,LR,2017,70,70,0,0,70
8,LR,2018,68,60,7,0,67
8,LR,2019,79,67,10,2,79
8,LR,2020,69,64,5,0,69
8,LR,2021,57,48,3,4,55
8,LR,2022,12,9,3,0,12
8,MB,2016,64,64,0,0,64
8,MB,2017,57,56,1,0,57
8,MB,2018,77,70,7,0,77
8,MB,2019,81,72,9,0,81
8,MB,2020,124,121,3,0,124
8,MB,2021,85,82,2,0,84
8,MB,2022,59,53,6,0,59
11,DR,2018,1,1,0,0,1
11,DR,2019,1,1,0,0,1
11,DR,2021,1,0,1,0,1
11,DR,2022,1,1,0,0,1
11,MB,2017,9,7,1,1,9
11,MB,2018,1,1,0,0,1
11,MB,2019,2,2,0,0,2
11,MB,2020,6,1,5,0,6
11,MB,2021,3,1,2,0,3
11,MB,2022,8,7,1,0,8
12,DR,2016,1,1,0,0,1
12,DR,2020,6,5,0,0,5
12,DR,2021,2,2,0,0,2
12,DR,2022,7,5,1,0,6
12,MB,2016,3,0,3,0,3
12,MB,2018,2,2,0,0,2
12,MB,2020,10,6,4,0,10
12,MB,2021,5,4,1,0,5
12,MB,2022,7,5,2,0,7
16,MB,2017,1,1,0,0,1
16,MB,2019,1,1,0,0,1
16,MB,2021,1,1,0,0,1
18,DR,2018,2,2,0,0,2
18,DR,2020,1,1,0,0,1
18,DR,2021,1,1,0,0,1
18,MB,2016,1,1,0,0,1
18,MB,2017,1,1,0,0,1
18,MB,2020,1,1,0,0,1
18,MB,2022,3,3,0,0,3
18,VP,2016,2,2,0,0,2
19,CB,2022,2,2,0,0,2
19,DR,2016,1,1,0,0,1
19,DR,2017,1,1,0,0,1
19,DR,2018,3,3,0,0,3
19,DR,2019,2,2,0,0,2
19,MB,2016,5,3,1,1,5
19,MB,2017,5,5,0,0,5
19,MB,2018,5,5,0,0,5
19,MB,2019,6,6,0,0,6
19,MB,2021,1,1,0,0,1
19,MB,2022,5,2,3,0,5
20,DR,2018,1,1,0,0,1
20,DR,2019,2,2,0,0,2
20,DR,2022,2,1,0,0,1
20,FB,2018,1,1,0,0,1
20,FB,2019,1,1,0,0,1
20,MB,2018,2,2,0,0,2
20,MB,2019,1,1,0,0,1
20,MB,2021,1,1,0,0,1
21,DR,2016,4,4,0,0,4
21,DR,2018,3,3,0,0,3
21,DR,2019,2,2,0,0,2
21,MB,2016,3,3,0,0,3
21,MB,2017,4,0,0,4,4
21,MB,2019,1,1,0,0,1
21,MB,2021,2,2,0,0,2
23,MG,2017,1,1,0,0,1
23,MG,2021,1,1,0,0,1
24,CB,2017,1,1,0,0,1
24,DR,2016,5,4,1,0,5
24,DR,2017,1,1,0,0,1
24,DR,2018,3,3,0,0,3
24,DR,2019,8,6,2,0,8
24,DR,2020,2,2,0,0,2
24,DR,2022,2,2,0,0,2
24,MB,2016,5,3,0,0,3
24,MB,2017,16,12,1,0,13
24,MB,2018,26,11,1,0,12
24,MB,2019,24,16,4,0,20
24,MB,2020,26,6,0,0,6
24,MB,2021,20,10,1,0,11
24,MB,2022,17,10,0,0,10
25,DR,2016,1,1,0,0,1
25,DR,2017,1,1,0,0,1
25,DR,2018,2,2,0,0,2
25,DR,2019,1,1,0,0,1
25,DR,2020,1,1,0,0,1
