Primary UZA Population,Mode VOMS,Total Spending,Total Minor Injuries,Property Damage,Total Injuries,Total Fatalities,Total Serious Injuries,UPT,Mode
1190956.0,88.0,2364533.0,13.0,7000.0,1.0,0.0,0.0,371749.0,MB
1190956.0,84.0,0.0,18.0,17700.0,5.0,0.0,0.0,357656.0,MB
1190956.0,80.0,0.0,13.0,7000.0,2.0,0.0,0.0,368622.0,MB
1190956.0,80.0,198246.0,15.0,0.0,0.0,0.0,0.0,395558.0,MB
1190956.0,92.0,2148987.0,16.0,0.0,0.0,0.0,0.0,195755.0,MB
1190956.0,53.0,0.0,28.0,0.0,0.0,0.0,0.0,212801.0,MB
1190956.0,195.0,11791950.0,21.0,576000.0,14.0,0.0,0.0,16999203.0,MB
1190956.0,195.0,18413820.0,49.0,39200.0,17.0,0.0,0.0,16047508.0,MB
1190956.0,204.0,6092588.0,46.0,26000.0,7.0,0.0,0.0,16278314.0,MB
1190956.0,196.0,10402282.0,45.0,38000.0,10.0,0.0,0.0,16003037.0,MB
1190956.0,203.0,26463531.0,43.0,24000.0,14.0,0.0,0.0,8800612.0,MB
1190956.0,203.0,23592157.0,54.0,15000.0,2.0,0.0,0.0,8496188.0,MB
1285806.0,203.0,6523545.0,63.0,100000.0,3.0,0.0,0.0,10046112.0,MB
1190956.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8933.0,MB
1190956.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,21834.0,MB
1190956.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,20717.0,MB
1190956.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,87971.0,MB
1190956.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,71943.0,MB
4181019.0,612.0,0.0,17.0,182000.0,34.0,0.0,0.0,2101739.0,MB
4181019.0,689.0,0.0,12.0,276501.0,39.0,1.0,0.0,1968914.0,MB
4181019.0,653.0,0.0,8.0,236000.0,21.0,0.0,0.0,1911062.0,MB
4181019.0,617.0,6508479.0,9.0,240000.0,31.0,0.0,0.0,1812230.0,MB
4181019.0,584.0,0.0,3.0,102500.0,10.0,0.0,0.0,848222.0,MB
4181019.0,432.0,12199963.0,19.0,105500.0,10.0,0.0,0.0,854308.0,MB
4382009.0,372.0,3999948.0,21.0,54500.0,7.0,0.0,0.0,922561.0,MB
4181019.0,788.0,76452647.0,278.0,804625.0,154.0,1.0,0.0,109171667.0,MB
4181019.0,775.0,83262769.0,227.0,735150.0,172.0,1.0,0.0,105827105.0,MB
4181019.0,783.0,62295568.0,197.0,731125.0,191.0,1.0,0.0,102299632.0,MB
4181019.0,849.0,85368392.0,230.0,627875.0,159.0,6.0,0.0,100888185.0,MB
4181019.0,820.0,60807105.0,169.0,334250.0,84.0,2.0,0.0,53646501.0,MB
4181019.0,844.0,196369952.0,169.0,527000.0,99.0,1.0,0.0,58652054.0,MB
4181019.0,30.0,1137125.0,12.0,64075.0,20.0,0.0,0.0,10750758.0,MB
