Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Capital Use Type,Guideway,Guideway Questionable,Stations,Stations Questionable,Administrative Buildings,Administrative Buildings Questionable,Maintenance Buildings,Maintenance Buildings Questionable,Passenger Vehicles,Passenger Vehicles Questionable,Other Vehicles,Other Vehicles Questionable,Fare Collection Equipment,Fare Collection Equipment Questionable,Communication & Information Systems,Communication & Information Systems Questionable,Other,Other Questionable,Reduced Reporter Expenses,Reduced Reporter Questionable,Total,Total Questionable
City of Guntersville,Guntersville,AL,41009,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,4,DR,Demand Response,DO,4,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"14,794",,"14,794",
Lower Brule Sioux Tribe,Lower Brule,SD,88176,Tribe,Reduced Reporter,2022,46,South Dakota Non-UZA,"599,629",4,DR,Demand Response,DO,4,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"1,151,569",,"1,151,569",
"Kootenai County, dba: Kootenai County Citylink North",Coeur D Alene,ID,00055,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,18451,"Coeur d'Alene, ID","121,831",4,DR,Demand Response,PT,4,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"1,053,702",,"1,053,702",
Lane Council of Governments,Eugene,OR,00464,"MPO, COG or Other Planning Agency",Rural Reporter,2022,28117,"Eugene, OR","270,179",3,MB,Bus,PT,3,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"41,492",,"41,492",
White Pine - Ely Bus,Ely,NV,91099,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,3,DR,Demand Response,DO,3,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"6,282",,"6,282",
Hillsdale Dial-A-Ride,Hillsdale,MI,50268,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,3,DR,Demand Response,DO,3,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"6,250",,"6,250",
"Bad River Band of Lake Superior Tribe of Chippewa, dba: Bad River Transit",Odanah,WI,55282,Tribe,Reduced Reporter,2022,55,Wisconsin Non-UZA,"2,782,206",2,MB,Bus,DO,2,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"338,712",,"338,712",
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",HR,Heavy Rail,DO,"5,410",Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"573,234,681",,"613,917,081",,"58,444,260",,"280,139,978",,"225,997,376",,"41,820,962",,"47,120,798",,"539,713,697",,"205,901,324",,0,,"2,586,290,157",
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",RB,Bus Rapid Transit,DO,125,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,"2,422,665",,0,,0,,0,,0,,0,,0,,"2,422,665",
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",CB,Commuter Bus,DO,443,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"10,561,960",,0,,0,,0,,0,,0,,"10,561,960",
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",HR,Heavy Rail,DO,"5,410",Uses of Capital (F-20) - Expansion of Service,"1,748,799",,"13,561,321",,0,,0,,0,,0,,0,,"3,164,968",,"80,494,810",,0,,"98,969,898",
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",MB,Bus,DO,"3,217",Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,"75,190,974",,"420,638,691",,0,,0,,"11,463",,0,,0,,"495,841,128",
