Year,Month,Service Availability - Train and Bus
2019,January,97.63%
2019,February,96.64%
2019,March,98.23%
2019,April,97.69%
2019,May,95.62%
2019,June,96.42%
2019,July,96.30%
2019,August,95.07%
2019,September,96.51%
2019,October,98.25%
2019,November,98.46%
2019,December,97.35%
2020,January,98.03%
2020,February,97.62%
2020,March,95.70%
2020,April,99.70%
2020,May,99.41%
2020,June,99.42%
2020,July,97.45%
2020,August,97.43%
2020,September,98.97%
2020,October,98.90%
2020,November,98.59%
2020,December,98.96%
2021,January,99.32%
2021,February,98.84%
2021,March,99.22%
2021,April,99.00%
2021,May,99.42%
2021,June,99.48%
2021,July,99.74%
2021,August,99.50%
2021,September,98.83%
2021,October,97.91%
2021,November,98.76%
2021,December,97.65%
